,key_0,key_0_x,State_x,Participation,Composite,State_y,Unnamed: 1,Total,key_0_y,act_state,act_participation,act_english,act_math,act_reading,act_science,act_composite,sat_state,sat_participation,sat_read_write,sat_math,sat_total
37,Oregon,Colorado,Colorado,30,23.9,Oregon,48,1117,Oregon,Oregon,40%,21.2,21.5,22.4,21.7,21.8,Oregon,43%,560,548,1108
38,Pennsylvania,California,California,27,22.7,Pennsylvania,70,1086,Pennsylvania,Pennsylvania,23%,23.4,23.4,24.2,23.3,23.7,Pennsylvania,65%,540,531,1071
39,Rhode Island,New York,New York,27,24.5,Rhode Island,97,1018,Rhode Island,Rhode Island,21%,24.0,23.3,24.7,23.4,24.0,Rhode Island,71%,539,524,1062
40,South Carolina,Connecticut,Connecticut,26,25.6,South Carolina,55,1070,South Carolina,South Carolina,100%,17.5,18.6,19.1,18.9,18.7,South Carolina,50%,543,521,1064
41,South Dakota,Massachusetts,Massachusetts,25,25.5,South Dakota,3,1241,South Dakota,South Dakota,80%,20.7,21.5,22.3,22.0,21.8,South Dakota,3%,612,603,1216
42,Tennessee,Vermont,Vermont,24,24.1,Tennessee,6,1231,Tennessee,Tennessee,100%,19.5,19.2,20.1,19.9,19.8,Tennessee,5%,623,604,1228
43,Texas,Virginia,Virginia,24,23.9,Texas,66,1032,Texas,Texas,45%,19.5,20.7,21.1,20.9,20.7,Texas,62%,513,507,1020
44,Utah,Washington,Washington,24,22.2,Utah,4,1230,Utah,Utah,100%,19.5,19.9,20.8,20.6,20.3,Utah,3%,624,614,1238
45,Vermont,Michigan,Michigan,24,24.4,Vermont,64,1120,Vermont,Vermont,29%,23.3,23.1,24.4,23.2,23.6,Vermont,60%,562,551,1114
46,Virginia,Pennsylvania,Pennsylvania,20,23.5,Virginia,68,1117,Virginia,Virginia,29%,23.5,23.3,24.6,23.5,23.8,Virginia,65%,561,541,1102
47,Washington,Delaware,Delaware,17,23.8,Washington,69,1081,Washington,Washington,29%,20.9,21.9,22.1,22.0,21.9,Washington,64%,541,534,1075
48,West Virginia,New Hampshire,New Hampshire,16,25.1,West Virginia,28,999,West Virginia,West Virginia,69%,20.0,19.4,21.2,20.5,20.4,West Virginia,14%,558,528,1086
49,Wisconsin,Rhode Island,Rhode Island,15,24.2,Wisconsin,3,1294,Wisconsin,Wisconsin,100%,19.7,20.4,20.6,20.9,20.5,Wisconsin,3%,642,649,1291
50,Wyoming,Maine,Maine,7,24.0,Wyoming,3,1257,Wyoming,Wyoming,100%,19.4,19.8,20.8,20.6,20.2x,Wyoming,3%,626,604,1230
